host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,days_as_host,host_response_time_hours,bathroom_type,amenities_count,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bathroom_type_,bathroom_type_bath,bathroom_type_baths,bathroom_type_half-bath,bathroom_type_private bath,bathroom_type_shared bath,bathroom_type_shared baths
0,92,0,1.0,1.0,1,1,13.77808,100.5416,Entire home/apt,2,1.0,1,1,1000.0,120,1125,1,30,60,90,365,19,1,0,4.58,4.68,4.58,4.53,4.68,4.74,4.68,0,1,1,0,0,0.28,4458,72,bath,20,1,0,0,0,0,1,0,0,0,0,0
0,0,0,2.0,2.0,1,1,13.78148,100.54868,Private room,2,1.0,1,1,1073.0,2,1125,1,30,60,90,365,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,2,0,2,0,0.01,4377,72,bath,9,0,0,1,0,0,1,0,0,0,0,0
100,100,0,1.0,5.0,1,1,13.74088,100.54102,Entire home/apt,2,1.0,1,1,3586.0,28,365,1,2,11,41,316,125,3,0,4.86,4.93,4.84,4.87,4.93,4.96,4.76,1,1,1,0,0,0.89,4453,3,bath,47,1,0,0,0,0,1,0,0,0,0,0
100,100,1,15.0,32.0,1,1,13.72109,100.53915,Entire home/apt,2,1.0,1,1,990.0,300,1125,1,0,0,0,242,35,0,0,4.82,4.77,4.66,4.71,4.83,4.77,4.6,0,2,2,0,0,0.25,4837,1,bath,26,1,0,0,0,0,1,0,0,0,0,0
33,0,0,2.0,2.0,1,1,13.72075,100.53993,Entire home/apt,2,1.0,2,1,1537.0,21,1125,1,0,6,36,311,2,0,0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,0,2,2,0,0,0.03,4617,72,bath,22,1,0,0,0,0,1,0,0,0,0,0
100,96,0,4.0,5.0,1,1,13.72062,100.58019,Entire home/apt,2,1.0,1,1,1708.0,2,1125,1,12,42,72,347,1,0,0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0,1,1,0,0,0.08,4603,1,bath,7,1,0,0,0,0,1,0,0,0,0,0
100,91,1,2.0,6.0,1,1,13.73595,100.58375,Entire home/apt,3,1.0,1,1,2500.0,3,365,1,4,27,57,332,63,1,0,4.71,4.79,4.78,4.65,4.7,4.79,4.7,0,2,2,0,0,0.43,4843,1,bath,36,1,0,0,0,0,1,0,0,0,0,0
96,92,0,1.0,2.0,1,1,13.73668,100.56693,Entire home/apt,6,2.5,3,3,12000.0,28,45,1,29,59,89,270,4,0,0,4.75,5.0,4.5,5.0,5.0,5.0,5.0,0,1,1,0,0,0.03,4693,1,baths,63,1,0,0,0,0,0,1,0,0,0,0
100,95,0,3.0,6.0,1,1,13.72101,100.50378,Entire home/apt,2,1.0,1,1,720.0,30,365,1,0,0,15,181,98,5,1,4.99,4.97,4.96,4.97,4.99,4.78,4.88,0,3,3,0,0,0.67,4583,1,bath,35,1,0,0,0,0,1,0,0,0,0,0
100,100,1,7.0,9.0,1,1,13.83148,100.52151,Entire home/apt,3,1.0,1,2,1050.0,3,365,1,7,29,59,149,13,3,1,5.0,5.0,4.92,5.0,5.0,4.77,5.0,0,7,7,0,0,0.09,5062,1,bath,32,1,0,0,0,0,1,0,0,0,0,0
